N,iteration,monomers,imines,aldehydes
4500,7,4500,13118,382
4700,2,4700,13691,409
4200,10,4200,12184,416
4800,3,4800,14002,398
4100,9,4100,11911,389
4300,8,4300,12484,416
5000,3,5000,14561,439
4900,3,4900,14293,407
4600,3,4600,13382,418
4400,8,4400,12790,410
4700,3,4700,13690,410
4500,8,4500,13110,390
4800,4,4800,13950,450
4100,10,4100,11931,369
5000,4,5000,14592,408
4900,4,4900,14277,423
4300,9,4300,12511,389
4600,4,4600,13394,406
4800,5,4800,13986,414
4700,4,4700,13673,427
4400,9,4400,12809,391
5000,5,5000,14553,447
4900,5,4900,14281,419
4500,9,4500,13098,402
4300,10,4300,12503,397
4600,5,4600,13373,427
4800,6,4800,14013,387
4700,5,4700,13709,391
5000,6,5000,14605,395
4900,6,4900,14272,428
4400,10,4400,12818,382
4500,10,4500,13099,401
4800,7,4800,13985,415
4600,6,4600,13393,407
5000,7,5000,14556,444
4700,6,4700,13690,410
4900,7,4900,14273,427
4800,8,4800,13965,435
4600,7,4600,13412,388
5000,8,5000,14586,414
4900,8,4900,14291,409
4700,7,4700,13681,419
4800,9,4800,13963,437
5200,1,5200,15159,441
5000,9,5000,14571,429
4600,8,4600,13371,429
5100,1,5100,14857,443
4900,9,4900,14285,415
5300,1,5300,15467,433
4800,10,4800,13956,444
5500,1,5500,16054,446
5400,1,5400,15721,479
4700,8,4700,13671,429
5000,10,5000,14560,440
5200,2,5200,15140,460
4600,9,4600,13410,390
4900,10,4900,14253,447
4700,9,4700,13696,404
5100,2,5100,14887,413
5300,2,5300,15454,446
4600,10,4600,13371,429
5400,2,5400,15761,439
5500,2,5500,16083,417
5200,3,5200,15163,437
4700,10,4700,13696,404
5100,3,5100,14889,411
5200,4,5200,15190,410
5300,3,5300,15484,416
5400,3,5400,15773,427
5500,3,5500,16049,451
5100,4,5100,14862,438
5200,5,5200,15179,421
5300,4,5300,15447,453
5400,4,5400,15748,452
5500,4,5500,16052,448
5100,5,5100,14872,428
5200,6,5200,15140,460
5800,1,5800,16967,433
6000,1,6000,17517,483
5900,1,5900,17208,492
5600,1,5600,16349,451
5700,1,5700,16624,476
5300,5,5300,15477,423
5100,6,5100,14874,426
5200,7,5200,15174,426
5400,5,5400,15764,436
5500,5,5500,16044,456
5800,2,5800,16939,461
6000,2,6000,17520,480
5900,2,5900,17259,441
5600,2,5600,16355,445
5700,2,5700,16638,462
5200,8,5200,15180,420
5100,7,5100,14880,420
5800,3,5800,16912,488
6000,3,6000,17516,484
5900,3,5900,17262,438
5300,6,5300,15469,431
5400,6,5400,15773,427
5500,6,5500,16030,470
5600,3,5600,16330,470
5700,3,5700,16646,454
5200,9,5200,15129,471
5800,4,5800,16909,491
6000,4,6000,17556,444
5100,8,5100,14885,415
5900,4,5900,17220,480
5300,7,5300,15465,435
5400,7,5400,15741,459
5700,4,5700,16613,487
5200,10,5200,15172,428
5800,5,5800,16925,475
5500,7,5500,16044,456
6000,5,6000,17539,461
5900,5,5900,17257,443
5100,9,5100,14873,427
5600,5,5600,16366,434
5800,6,5800,16963,437
5700,5,5700,16631,469
6000,6,6000,17514,486
5300,8,5300,15476,424
5900,6,5900,17222,478
5400,8,5400,15734,466
5500,8,5500,16051,449
5100,10,5100,14853,447
5800,7,5800,16949,451
5600,6,5600,16347,453
6000,7,6000,17528,472
5700,6,5700,16644,456
6100,1,6100,17833,467
5900,7,5900,17239,461
6200,1,6200,18132,468
6300,1,6300,18407,493
5300,9,5300,15452,448
6400,1,6400,18716,484
6500,1,6500,19015,485
5400,9,5400,15757,443
5800,8,5800,16938,462
5500,9,5500,16013,487
6000,8,6000,17522,478
5600,7,5600,16357,443
5900,8,5900,17231,469
5700,7,5700,16641,459
6100,2,6100,17844,456
6200,2,6200,18151,449
6300,2,6300,18410,490
5800,9,5800,16920,480
6400,2,6400,18705,495
5300,10,5300,15458,442
6500,2,6500,18984,516
6000,9,6000,17527,473
5400,10,5400,15756,444
5600,8,5600,16363,437
5900,9,5900,17250,450
5500,10,5500,16050,450
5700,8,5700,16606,494
6100,3,6100,17817,483
5800,10,5800,16969,431
6000,10,6000,17517,483
6200,3,6200,18094,506
6300,3,6300,18434,466
5900,10,5900,17255,445
6400,3,6400,18729,471
5600,9,5600,16349,451
6500,3,6500,19029,471
5700,9,5700,16640,460
6100,4,6100,17831,469
6200,4,6200,18111,489
6300,4,6300,18439,461
5600,10,5600,16361,439
6400,4,6400,18697,503
6500,4,6500,19015,485
5700,10,5700,16635,465
6100,5,6100,17828,472
7000,1,7000,20500,500
6200,5,6200,18119,481
6300,5,6300,18412,488
6400,5,6400,18729,471
6500,5,6500,18977,523
6600,1,6600,19291,509
6700,1,6700,19623,477
6800,1,6800,19881,519
6900,1,6900,20217,483
6100,6,6100,17840,460
7000,2,7000,20480,520
6200,6,6200,18114,486
6300,6,6300,18432,468
6400,6,6400,18718,482
6500,6,6500,19033,467
6100,7,6100,17825,475
6600,2,6600,19328,472
7000,3,7000,20486,514
6200,7,6200,18122,478
6300,7,6300,18424,476
6700,2,6700,19611,489
6800,2,6800,19892,508
6900,2,6900,20195,505
6400,7,6400,18742,458
6100,8,6100,17851,449
6500,7,6500,19000,500
7000,4,7000,20470,530
6200,8,6200,18139,461
6300,8,6300,18420,480
6600,3,6600,19316,484
6100,9,6100,17820,480
6400,8,6400,18692,508
6700,3,6700,19593,507
6800,3,6800,19902,498
6900,3,6900,20195,505
6500,8,6500,19011,489
7000,5,7000,20521,479
6200,9,6200,18095,505
6300,9,6300,18411,489
7400,1,7400,21675,525
7300,1,7300,21367,533
6100,10,6100,17850,450
6600,4,6600,19300,500
7100,1,7100,20789,511
6400,9,6400,18728,472
7200,1,7200,21071,529
6500,9,6500,18995,505
7000,6,7000,20500,500
6200,10,6200,18141,459
6300,10,6300,18390,510
6700,4,6700,19618,482
6800,4,6800,19955,445
7500,1,7500,21943,557
6900,4,6900,20189,511
7400,2,7400,21660,540
7300,2,7300,21384,516
6400,10,6400,18734,466
7000,7,7000,20505,495
7100,2,7100,20802,498
6500,10,6500,19017,483
6600,5,6600,19275,525
7200,2,7200,21061,539
7400,3,7400,21684,516
6700,5,6700,19591,509
7500,2,7500,21997,503
6800,5,6800,19928,472
7300,3,7300,21381,519
6900,5,6900,20189,511
7000,8,7000,20484,516
7100,3,7100,20811,489
7200,3,7200,21072,528
6600,6,6600,19313,487
7400,4,7400,21668,532
7000,9,7000,20502,498
7300,4,7300,21400,500
6700,6,6700,19581,519
7500,3,7500,21977,523
6800,6,6800,19903,497
7100,4,7100,20747,553
6900,6,6900,20197,503
7200,4,7200,21063,537
7400,5,7400,21698,502
6600,7,6600,19290,510
7000,10,7000,20477,523
7300,5,7300,21364,536
7700,1,7700,22579,521
7800,1,7800,22890,510
7600,1,7600,22251,549
8000,1,8000,23468,532
7900,1,7900,23155,545
7100,5,7100,20783,517
7500,4,7500,21944,556
6700,7,6700,19593,507
6800,7,6800,19911,489
7400,6,7400,21681,519
7200,5,7200,21093,507
6900,7,6900,20210,490
7300,6,7300,21384,516
6600,8,6600,19326,474
7700,2,7700,22563,537
7800,2,7800,22853,547
7900,2,7900,23161,539
8000,2,8000,23459,541
7600,2,7600,22258,542
7100,6,7100,20790,510
7400,7,7400,21687,513
7500,5,7500,21991,509
6700,8,6700,19600,500
7200,6,7200,21086,514
7300,7,7300,21380,520
6800,8,6800,19915,485
6900,8,6900,20190,510
6600,9,6600,19311,489
7400,8,7400,21665,535
7700,3,7700,22577,523
7800,3,7800,22878,522
7900,3,7900,23159,541
7600,3,7600,22261,539
8000,3,8000,23469,531
7100,7,7100,20767,533
7300,8,7300,21373,527
7200,7,7200,21090,510
7500,6,7500,21957,543
6700,9,6700,19613,487
6800,9,6800,19890,510
7400,9,7400,21642,558
6600,10,6600,19299,501
6900,9,6900,20208,492
7100,8,7100,20781,519
7700,4,7700,22514,586
7800,4,7800,22851,549
7900,4,7900,23150,550
7600,4,7600,22305,495
7300,9,7300,21409,491
8000,4,8000,23436,564
8100,1,8100,23747,553
7200,8,7200,21089,511
8500,1,8500,24922,578
8200,1,8200,24064,536
7500,7,7500,21987,513
8300,1,8300,24362,538
7400,10,7400,21678,522
8400,1,8400,24625,575
6700,10,6700,19586,514
6800,10,6800,19903,497
7100,9,7100,20781,519
7300,10,7300,21397,503
6900,10,6900,20221,479
7700,5,7700,22557,543
7800,5,7800,22864,536
8100,2,8100,23786,514
7900,5,7900,23147,553
7600,5,7600,22268,532
8000,5,8000,23417,583
7200,9,7200,21092,508
7500,8,7500,21967,533
7100,10,7100,20754,546
8200,2,8200,24060,540
8500,2,8500,24972,528
8300,2,8300,24320,580
8400,2,8400,24629,571
8100,3,8100,23748,552
7600,6,7600,22256,544
7700,6,7700,22543,557
7800,6,7800,22853,547
7900,6,7900,23163,537
7200,10,7200,21094,506
8000,6,8000,23418,582
7500,9,7500,21992,508
8100,4,8100,23760,540
7700,7,7700,22535,565
7600,7,7600,22267,533
8200,3,8200,24029,571
8500,3,8500,24918,582
7800,7,7800,22877,523
7900,7,7900,23179,521
8300,3,8300,24328,572
8400,3,8400,24623,577
8000,7,8000,23465,535
8600,1,8600,25242,558
8700,1,8700,25544,556
8800,1,8800,25818,582
8900,1,8900,26143,557
9000,1,9000,26413,587
9100,1,9100,26696,604
7500,10,7500,21947,553
9400,1,9400,27590,610
9500,1,9500,27893,607
10400,1,10400,30577,623
9600,1,9600,28208,592
8100,5,8100,23743,557
9200,1,9200,26977,623
9700,1,9700,28503,597
10300,1,10300,30288,612
9300,1,9300,27318,582
9900,1,9900,29083,617
9800,1,9800,28790,610
7700,8,7700,22573,527
7600,8,7600,22269,531
10100,1,10100,29679,621
7800,8,7800,22841,559
7900,8,7900,23189,511
10200,1,10200,30012,588
8000,8,8000,23457,543
8500,4,8500,24949,551
8200,4,8200,24031,569
8300,4,8300,24351,549
8600,2,8600,25218,582
10000,1,10000,29405,595
8400,4,8400,24649,551
8700,2,8700,25492,608
8800,2,8800,25837,563
8900,2,8900,26119,581
9000,2,9000,26459,541
8100,6,8100,23741,559
9100,2,9100,26719,581
7700,9,7700,22524,576
7600,9,7600,22262,538
7800,9,7800,22844,556
7900,9,7900,23156,544
10400,2,10400,30549,651
8000,9,8000,23487,513
9400,2,9400,27637,563
10300,2,10300,30269,631
9500,2,9500,27910,590
9600,2,9600,28207,593
8500,5,8500,24946,554
8200,5,8200,24044,556
9200,2,9200,27042,558
9300,2,9300,27301,599
10100,2,10100,29679,621
9700,2,9700,28503,597
8600,3,8600,25243,557
8300,5,8300,24346,554
10200,2,10200,30015,585
8100,7,8100,23768,532
9900,2,9900,29104,596
9800,2,9800,28791,609
8700,3,8700,25522,578
8400,5,8400,24629,571
8800,3,8800,25819,581
8900,3,8900,26110,590
9000,3,9000,26439,561
7700,10,7700,22539,561
7800,10,7800,22882,518
7600,10,7600,22287,513
7900,10,7900,23163,537
8000,10,8000,23447,553
9100,3,9100,26741,559
10000,2,10000,29388,612
10400,3,10400,30579,621
8100,8,8100,23765,535
8500,6,8500,24939,561
8200,6,8200,24026,574
10300,3,10300,30275,625
9400,3,9400,27570,630
8600,4,8600,25210,590
8700,4,8700,25523,577
8300,6,8300,24327,573
8400,6,8400,24622,578
8800,4,8800,25800,600
9500,3,9500,27903,597
8900,4,8900,26106,594
9600,3,9600,28178,622
9000,4,9000,26430,570
10100,3,10100,29689,611
9200,3,9200,27003,597
10200,3,10200,29999,601
9300,3,9300,27310,590
9700,3,9700,28476,624
9800,3,9800,28796,604
9900,3,9900,29115,585
10800,1,10800,31751,649
10900,1,10900,32030,670
8100,9,8100,23751,549
9100,4,9100,26704,596
10400,4,10400,30574,626
8500,7,8500,24988,512
10500,1,10500,30861,639
10600,1,10600,31151,649
8200,7,8200,24040,560
10700,1,10700,31443,657
8600,5,8600,25249,551
8700,5,8700,25487,613
8300,7,8300,24347,553
8800,5,8800,25827,573
8400,7,8400,24648,552
10300,4,10300,30266,634
10000,3,10000,29394,606
8900,5,8900,26127,573
9000,5,9000,26418,582
9400,4,9400,27630,570
8100,10,8100,23770,530
9500,4,9500,27929,571
10100,4,10100,29699,601
9600,4,9600,28197,603
9100,5,9100,26730,570
10200,4,10200,29977,623
9200,4,9200,27001,599
9300,4,9300,27318,582
8500,8,8500,24937,563
10400,5,10400,30585,615
9700,4,9700,28477,623
9800,4,9800,28797,603
9900,4,9900,29098,602
8200,8,8200,24039,561
8600,6,8600,25235,565
10800,2,10800,31768,632
8700,6,8700,25565,535
8300,8,8300,24332,568
10900,2,10900,32065,635
8800,6,8800,25841,559
8400,8,8400,24649,551
8900,6,8900,26159,541
9000,6,9000,26404,596
10300,5,10300,30281,619
9400,5,9400,27624,576
10500,2,10500,30882,618
9500,5,9500,27903,597
10000,4,10000,29400,600
10100,5,10100,29674,626
11000,1,11000,32354,646
10700,2,10700,31456,644
9600,5,9600,28195,605
8500,9,8500,24904,596
9100,6,9100,26729,571
8200,9,8200,24057,543
10400,6,10400,30605,595
8600,7,8600,25256,544
10200,5,10200,30004,596
11100,1,11100,32626,674
8700,7,8700,25481,619
11400,1,11400,33557,643
8300,9,8300,24345,555
9200,5,9200,27021,579
8800,7,8800,25842,558
9300,5,9300,27278,622
8400,9,8400,24652,548
11300,1,11300,33267,633
11200,1,11200,32943,657
8900,7,8900,26156,544
9700,5,9700,28463,637
9000,7,9000,26417,583
9800,5,9800,28763,637
9900,5,9900,29049,651
10800,3,10800,31801,599
10300,6,10300,30265,635
10900,3,10900,32073,627
9400,6,9400,27628,572
8500,10,8500,24938,562
8600,8,8600,25213,587
8200,10,8200,24054,546
9100,7,9100,26729,571
10400,7,10400,30598,602
8700,8,8700,25510,590
8300,10,8300,24326,574
8800,8,8800,25824,576
9500,6,9500,27896,604
10100,6,10100,29679,621
11000,2,11000,32331,669
9600,6,9600,28213,587
8400,10,8400,24629,571
8900,8,8900,26095,605
9000,8,9000,26422,578
10200,6,10200,29969,631
9200,6,9200,27017,583
10000,5,10000,29378,622
9300,6,9300,27310,590
10500,3,10500,30872,628
11100,2,11100,32587,713
9700,6,9700,28512,588
10600,3,10600,31158,642
10300,7,10300,30295,605
9800,6,9800,28814,586
10700,3,10700,31457,643
9900,6,9900,29061,639
11200,2,11200,32945,655
11300,2,11300,33235,665
8600,9,8600,25227,573
10800,4,10800,31748,652
9400,7,9400,27575,625
8700,9,8700,25543,557
8800,9,8800,25827,573
9100,8,9100,26705,595
10400,8,10400,30590,610
10900,4,10900,32067,633
8900,9,8900,26117,583
9000,9,9000,26395,605
10100,7,10100,29671,629
9500,7,9500,27957,543
11000,3,11000,32335,665
9600,7,9600,28193,607
11700,1,11700,34456,644
10200,7,10200,29992,608
11800,1,11800,34759,641
11900,1,11900,35025,675
9200,7,9200,26967,633
11500,1,11500,33847,653
9300,7,9300,27312,588
11600,1,11600,34127,673
10300,8,10300,30317,583
8600,10,8600,25231,569
10000,6,10000,29394,606
9700,7,9700,28499,601
8700,10,8700,25509,591
11100,3,11100,32655,645
8800,10,8800,25825,575
9800,7,9800,28788,612
11400,3,11400,33542,658
9900,7,9900,29071,629
10400,9,10400,30569,631
9100,9,9100,26731,569
8900,10,8900,26160,540
9400,8,9400,27598,602
9000,10,9000,26440,560
11200,3,11200,32932,668
11300,3,11300,33240,660
10500,4,10500,30930,570
10800,5,10800,31775,625
10600,4,10600,31183,617
10700,4,10700,31489,611
10100,8,10100,29723,577
9500,8,9500,27944,556
10900,5,10900,32097,603
11000,4,11000,32365,635
9600,8,9600,28201,599
10200,8,10200,29983,617
9200,8,9200,27041,559
9300,8,9300,27311,589
10300,9,10300,30259,641
11700,2,11700,34461,639
10400,10,10400,30549,651
11800,2,11800,34727,673
11900,2,11900,35012,688
11500,2,11500,33863,637
9100,10,9100,26683,617
9700,8,9700,28470,630
9400,9,9400,27595,605
10000,7,10000,29382,618
11600,2,11600,34136,664
9800,8,9800,28816,584
11100,4,11100,32662,638
9900,8,9900,29099,601
11400,4,11400,33561,639
12000,1,12000,35311,689
10100,9,10100,29657,643
10800,6,10800,31788,612
9500,9,9500,27888,612
11200,4,11200,32958,642
11300,4,11300,33254,646
9600,9,9600,28222,578
11000,5,11000,32333,667
10200,9,10200,30002,598
10300,10,10300,30251,649
9200,9,9200,27020,580
10500,5,10500,30906,594
10900,6,10900,32042,658
9300,9,9300,27307,593
10600,5,10600,31178,622
10700,5,10700,31457,643
12100,1,12100,35676,624
9400,10,9400,27601,599
12200,1,12200,35919,681
12300,1,12300,36217,683
12400,1,12400,36519,681
12500,1,12500,36802,698
9700,9,9700,28464,636
9800,9,9800,28754,646
11700,3,11700,34371,729
11800,3,11800,34729,671
